epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.79036,2.87321,4.56961,2.79097,0,0,0,0,0,24.2824,0,2e-05,2e-05,2e-05
2,8.63386,2.8667,4.05556,2.89762,0,0,0,0,0,24.3112,0,5.8812e-05,5.8812e-05,5.8812e-05
3,12.1852,2.7964,3.58807,2.79173,0,0,0,0,0,24.337,0,9.604e-05,9.604e-05,9.604e-05
4,15.6938,2.94514,3.94653,2.87618,0,0,0,0,0,24.3541,0,0.000131684,0.000131684,0.000131684
5,19.2341,1.86572,5.90173,2.29442,0,0,0,0,0,24.3713,0,0.000165744,0.000165744,0.000165744
6,22.7202,1.89251,3.07711,1.99536,0,0,0,0,0,24.3713,0,0.00019822,0.00019822,0.00019822
7,26.7368,2.57672,3.94952,2.75972,0,0,0,0,0,24.3943,0,0.000229112,0.000229112,0.000229112
8,30.6944,1.78977,3.57699,2.09101,0,0,0,0,0,24.3716,0,0.00025842,0.00025842,0.00025842
9,34.6977,2.11514,5.40503,2.72665,0,0,0,0,0,24.3716,0,0.000286144,0.000286144,0.000286144
10,38.6751,1.67285,3.40077,2.0861,0,0,0,0,0,24.3044,0,0.000312284,0.000312284,0.000312284
11,42.4922,1.6681,3.86973,2.53325,0,0,0,0,0,24.3044,0,0.00033684,0.00033684,0.00033684
12,46.4682,1.60028,6.15117,1.9017,0,0,0,0,0,24.2192,0,0.000359812,0.000359812,0.000359812
13,51.1117,1.76875,3.53746,2.18895,0,0,0,0,0,24.2192,0,0.0003812,0.0003812,0.0003812
14,55.0755,1.77072,3.31191,2.11383,0,0,0,0,0,24.2192,0,0.000401004,0.000401004,0.000401004
15,58.9683,1.68278,3.53337,1.98341,0,0,0,0,0,24.1398,0,0.000419224,0.000419224,0.000419224
16,62.7541,1.83171,3.34101,2.12595,0,0,0,0,0,24.1398,0,0.00043586,0.00043586,0.00043586
17,66.5542,1.86183,4.6142,2.18385,0,0,0,0,0,24.1398,0,0.000450912,0.000450912,0.000450912
18,70.4146,1.87746,3.19388,2.18404,0,0,0,0,0,23.887,0,0.00046438,0.00046438,0.00046438
19,74.3987,1.87539,3.93898,2.15934,0,0,0,0,0,23.887,0,0.000476264,0.000476264,0.000476264
20,78.2236,1.74171,3.64458,1.98812,0,0,0,0,0,23.887,0,0.000486564,0.000486564,0.000486564
21,82.1468,1.78395,4.28176,1.9278,0,0,0,0,0,23.5219,0,0.00049528,0.00049528,0.00049528
22,85.9342,1.53942,2.84181,1.83061,0,0,0,0,0,23.5219,0,0.000502412,0.000502412,0.000502412
23,89.9061,1.80048,3.19686,1.94993,0,0,0,0,0,23.5219,0,0.00050796,0.00050796,0.00050796
24,93.8417,1.78176,3.08668,2.10325,0,0,0,0,0,23.5219,0,0.000511924,0.000511924,0.000511924
25,97.6233,1.49085,3.58522,1.76014,0,0,0,0,0,23.0943,0,0.000514304,0.000514304,0.000514304
26,101.55,1.54085,3.40523,1.89955,0,0,0,0,0,23.0943,0,0.0005151,0.0005151,0.0005151
27,105.367,1.52518,3.60813,1.76876,0,0,0,0,0,23.0943,0,0.000514312,0.000514312,0.000514312
28,109.101,1.22467,3.03589,1.67102,0,0,0,0,0,23.0943,0,0.00051194,0.00051194,0.00051194
29,112.989,0.62523,14.3846,0.79622,0,0,0,0,0,23.0943,0,0.000507984,0.000507984,0.000507984
30,117.073,1.24376,2.66166,1.5533,0,0,0,0,0,22.9971,0,0.000502444,0.000502444,0.000502444
31,120.842,1.58245,2.92808,1.73742,0,0,0,0,0,22.9971,0,0.00049532,0.00049532,0.00049532
32,124.515,1.38778,4.16365,1.48698,0,0,0,0,0,22.9971,0,0.000486612,0.000486612,0.000486612
33,128.422,1.66729,3.60884,1.85564,0,0,0,0,0,22.9971,0,0.00047632,0.00047632,0.00047632
34,132.179,1.7766,4.72589,2.48137,0,0,0,0,0,22.9971,0,0.000464444,0.000464444,0.000464444
35,136.034,1.27028,4.30711,1.72915,0,0,0,0,0,22.9971,0,0.000450984,0.000450984,0.000450984
36,139.871,0.80988,15.982,1.08621,0,0,0,0,0,23.1817,0,0.00043594,0.00043594,0.00043594
37,143.722,1.55515,2.76027,1.72897,0,0,0,0,0,23.1817,0,0.000419312,0.000419312,0.000419312
38,147.565,1.32577,3.1276,1.53366,0,0,0,0,0,23.1817,0,0.0004011,0.0004011,0.0004011
39,151.477,1.31988,3.06616,1.66252,0,0,0,0,0,23.1817,0,0.000381304,0.000381304,0.000381304
40,155.545,1.57462,3.12327,1.79698,0,0,0,0,0,23.1817,0,0.000359924,0.000359924,0.000359924
41,159.304,0.84875,16.2375,1.02472,0,0,0,0,0,23.1817,0,0.00033696,0.00033696,0.00033696
42,166.549,1.31877,4.05704,1.51192,0,0,0,0,0,23.1817,0,0.000312412,0.000312412,0.000312412
43,173.473,0.64061,16.1285,0.76117,0,0,0,0,0,23.3424,0,0.00028628,0.00028628,0.00028628
44,179.722,1.74005,4.83211,1.96459,0,0,0,0,0,23.3424,0,0.000258564,0.000258564,0.000258564
45,184.457,1.26036,4.82371,1.75136,0,0,0,0,0,23.3424,0,0.000229264,0.000229264,0.000229264
46,188.101,0.6166,15.4721,0.81815,0,0,0,0,0,23.3424,0,0.00019838,0.00019838,0.00019838
47,191.905,1.30327,4.2203,1.75907,0,0,0,0,0,23.3424,0,0.000165912,0.000165912,0.000165912
48,195.725,2.34175,5.51788,2.69661,0,0,0,0,0,23.3424,0,0.00013186,0.00013186,0.00013186
49,199.509,1.27536,4.66933,1.6441,0,0,0,0,0,23.3424,0,9.6224e-05,9.6224e-05,9.6224e-05
50,203.376,1.08723,4.27689,1.37848,0,0,0,0,0,23.3424,0,5.9004e-05,5.9004e-05,5.9004e-05
